"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1","EQD"
"02960099999","1902-01-01T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","090,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09962,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-01T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","110,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09943,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-01T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","110,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09899,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-02T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","070,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09882,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-02T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","070,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0106,1","+9999,9","09928,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-02T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","070,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0128,1","+9999,9","09964,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-03T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","070,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0167,1","+9999,9","09999,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-03T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","050,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0200,1","+9999,9","10038,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-03T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0267,1","+9999,9","10063,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-04T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","140,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0156,1","+9999,9","09943,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-04T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","09788,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-04T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","230,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09788,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-05T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","230,1,N,0031,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09730,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-05T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","250,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","09740,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
