"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1"
"02907099999","1904-01-01T06:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","340,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10174,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-01T13:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","360,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10191,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-01T20:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","360,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10235,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-02T06:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","360,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10262,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-02T13:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","200,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","10263,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-02T20:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","200,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10260,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-03T06:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","320,1,N,0201,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10246,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-03T13:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","230,1,N,0278,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10232,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-03T20:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","230,1,N,0278,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10223,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-04T06:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","250,1,N,0159,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10220,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-04T13:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","250,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10231,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-04T20:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","250,1,N,0139,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10243,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-05T06:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","230,1,N,0159,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10252,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-05T13:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","230,1,N,0139,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10254,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02907099999","1904-01-05T20:00:00","4","64.3333333","23.45","5.0","KALAJOKI ULKOKALLA, FI","FM-12","99999","V020","230,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10255,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
