"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AJ1","GF1","MW1","EQD"
"02869099999","1911-01-01T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","140,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0078,1","+9999,9","09790,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-01T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","090,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0078,1","+9999,9","09775,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02869099999","1911-01-01T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0133,1","+9999,9","09828,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-02T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","09899,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-02T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0128,1","+9999,9","09934,1",,,,
"02869099999","1911-01-02T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0144,1","+9999,9","09982,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-03T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0150,1","+9999,9","10022,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-03T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0189,1","+9999,9","10039,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-03T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0156,1","+9999,9","10047,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-04T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","10043,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
