"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AJ1","GF1","MW1"
"02917099999","1912-01-01T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09906,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-01T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09898,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-01T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09890,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-02T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","270,1,N,0031,1","99999,9,9,N","000000,1,N,9","+0028,1","+9999,9","09758,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","60,1"
"02917099999","1912-01-02T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","320,1,N,0031,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09724,1",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-02T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","360,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09748,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-03T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09786,1",,"06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-03T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","020,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09835,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-03T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","020,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0122,1","+9999,9","09878,1",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-04T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0194,1","+9999,9","09919,1",,"01,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-04T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","360,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0183,1","+9999,9","09936,1",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-04T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0189,1","+9999,9","09926,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-05T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0233,1","+9999,9","09939,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-05T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0228,1","+9999,9","09955,1",,"01,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-05T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0239,1","+9999,9","09960,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-06T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0244,1","+9999,9","09956,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-06T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0228,1","+9999,9","09943,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-06T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0244,1","+9999,9","09927,1",,"03,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-07T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0250,1","+9999,9","09888,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-07T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0239,1","+9999,9","09883,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-07T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0267,1","+9999,9","09892,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-08T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0278,1","+9999,9","09922,1",,"05,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-08T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0244,1","+9999,9","09940,1",,"06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-08T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0228,1","+9999,9","09947,1",,"03,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-09T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0250,1","+9999,9","09947,1",,"02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-09T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0222,1","+9999,9","09932,1",,"02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-09T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0200,1","+9999,9","09927,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-10T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","320,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0133,1","+9999,9","09932,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-10T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0167,1","+9999,9","09996,1",,"02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-10T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","320,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0128,1","+9999,9","10046,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-11T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0156,1","+9999,9","10110,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-11T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","10150,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-11T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","10186,1",,"06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-12T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","10207,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-12T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","180,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","10223,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-12T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","10243,1",,"02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-13T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","10288,1",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-13T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10346,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-13T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","10387,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-14T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","10415,1",,"06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-14T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0106,1","+9999,9","10428,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-14T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","10419,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-15T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0139,1","+9999,9","10344,1",,"02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-15T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","10319,1",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-15T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","10320,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","70,1"
"02917099999","1912-01-16T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","10346,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1912-01-16T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0094,1","+9999,9","10364,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02917099999","1912-01-16T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","10378,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
